Timestamp[nanosec],fx[px],fy[px],Frame No.,Exposure time[nanosec],Sensor frame duration[nanosec],Frame readout time[nanosec],ISO,Focal length,Focus distance,AF mode
5048550082276,2836.0657,2836.0657,45360,2898550,33333333,11896875,65,6.92,0.5117707,1
5048583377016,2836.0657,2836.0657,45361,2898550,33333333,11896875,65,6.92,0.5117707,1
5048616671703,2836.0657,2836.0657,45362,2898550,33333333,11896875,65,6.92,0.5117707,1
5048649966443,2836.0657,2836.0657,45363,2898550,33333333,11896875,65,6.92,0.5117707,1
5048683261182,2836.0657,2836.0657,45364,2898550,33333333,11896875,65,6.92,0.5117707,1
5048716555922,2836.0657,2836.0657,45365,2898550,33333333,11896875,65,6.92,0.5117707,1
5048749850609,2836.0657,2836.0657,45366,2898550,33333333,11896875,65,6.92,0.5117707,1
5048783145349,2836.0657,2836.0657,45367,2898550,33333333,11896875,65,6.92,0.5117707,1
5048816440089,2836.0657,2836.0657,45368,2898550,33333333,11896875,65,6.92,0.5117707,1
5048849734828,2836.0657,2836.0657,45369,2898550,33333333,11896875,65,6.92,0.5117707,1
5048883029516,2836.0657,2836.0657,45370,2898550,33333333,11896875,65,6.92,0.5117707,1
5048916324255,2836.0657,2836.0657,45371,2898550,33333333,11896875,65,6.92,0.5117707,1
5048949618995,2836.0657,2836.0657,45372,2898550,33333333,11896875,65,6.92,0.5117707,1
5048982913734,2836.0657,2836.0657,45373,2898550,33333333,11896875,65,6.92,0.5117707,1
5049016208422,2836.0657,2836.0657,45374,2898550,33333333,11896875,65,6.92,0.5117707,1
5049049503161,2836.0657,2836.0657,45375,2898550,33333333,11896875,65,6.92,0.5117707,1
5049082797901,2836.0657,2836.0657,45376,2898550,33333333,11896875,65,6.92,0.5117707,1
5049116092641,2836.0657,2836.0657,45377,2898550,33333333,11896875,65,6.92,0.5117707,1
5049149387328,2836.0657,2836.0657,45378,2898550,33333333,11896875,65,6.92,0.5117707,1
5049182682068,2836.0657,2836.0657,45379,2898550,33333333,11896875,65,6.92,0.5117707,1
5049215976807,2836.0657,2836.0657,45380,2898550,33333333,11896875,65,6.92,0.5117707,1
5049249271547,2836.0657,2836.0657,45381,2898550,33333333,11896875,65,6.92,0.5117707,1
5049282566234,2836.0657,2836.0657,45382,2898550,33333333,11896875,65,6.92,0.5117707,1
5049315860974,2836.0657,2836.0657,45383,2898550,33333333,11896875,65,6.92,0.5117707,1
5049349155714,2836.0657,2836.0657,45384,2898550,33333333,11896875,65,6.92,0.5117707,1
5049382450453,2836.0657,2836.0657,45385,2898550,33333333,11896875,65,6.92,0.5117707,1
5049415745141,2836.0657,2836.0657,45386,2898550,33333333,11896875,65,6.92,0.5117707,1
5049449039880,2836.0657,2836.0657,45387,2898550,33333333,11896875,65,6.92,0.5117707,1
5049482334620,2836.0657,2836.0657,45388,2898550,33333333,11896875,65,6.92,0.5117707,1
5049515629359,2836.0657,2836.0657,45389,2898550,33333333,11896875,65,6.92,0.5117707,1
5049548924047,2836.0657,2836.0657,45390,2898550,33333333,11896875,65,6.92,0.5117707,1
5049582218786,2836.0657,2836.0657,45391,2898550,33333333,11896875,65,6.92,0.5117707,1
5049615513526,2836.0657,2836.0657,45392,2898550,33333333,11896875,65,6.92,0.5117707,1
