Timestamp[nanosec], gx[rad/s], gy[rad/s], gz[rad/s], ax[m/s^2], ay[m/s^2], az[m/s^2]
5042779096615,-0.0054214248,-0.009697478,-0.0045051277,0.43100718,9.92154,0.60329044
5042781632969,-0.0016798781,-0.009697478,-0.0045051277,0.43100718,9.92154,0.60329044
5042784169271,-0.0016798781,-0.009697478,-0.0032833982,0.4645067,9.9191475,0.5697909
5042786705625,0.0019853106,-0.010308343,-0.0026725335,0.4645067,9.9191475,0.5697909
5042789241979,0.0013744457,-0.009697478,-0.0032833982,0.4764708,9.888041,0.53629136
5042791778281,0.0025961753,-0.010308343,-8.3993905E-4,0.49082774,9.888041,0.50039905
5042794314636,0.0045051277,-0.011530072,9.926553E-4,0.49082774,9.888041,0.50039905
5042796850990,0.0025961753,-0.012751802,0.00160352,0.48364928,9.888041,0.4860421
5042799387344,0.0019853106,-0.012140937,0.0022143847,0.5027919,9.892826,0.4860421
5042801923646,0.0032833982,-0.011530072,0.0022143847,0.5027919,9.892826,0.4860421
5042804460000,7.6358096E-4,-0.013973532,0.0022143847,0.54346985,9.892826,0.51475596
5042806996354,-4.581486E-4,-0.012751802,0.0022143847,0.54346985,9.892826,0.51475596
5042809532709,-0.002290743,-0.013973532,9.926553E-4,0.55782676,9.864112,0.4956134
5042812069011,1.527162E-4,-0.016416991,0.0022143847,0.55304116,9.866505,0.5027919
5042814605365,-4.581486E-4,-0.01763872,0.00160352,0.55782676,9.859326,0.51475596
5042817141719,-4.581486E-4,-0.020693045,0.005268709,0.5626124,9.873684,0.5099703
5042819678073,-0.0016798781,-0.024358233,0.0034361144,0.581755,9.873684,0.50039905
5042822214375,1.527162E-4,-0.026801692,0.0034361144,0.57457656,9.907183,0.5027919
5042824750729,-0.0016798781,-0.028634287,9.926553E-4,0.6152545,9.900004,0.50039905
5042827287084,-0.002290743,-0.028634287,-0.0014508038,0.6439684,9.928719,0.5195416
5042829823386,-0.002290743,-0.029245151,-0.0026725335,0.67028946,10.000504,0.50039905
5042832359740,-0.0016798781,-0.029245151,-0.006948587,0.67028946,10.000504,0.50039905
5042834896094,-4.581486E-4,-0.026801692,-0.008781182,0.6798607,10.041182,0.52911294
5042837432448,-4.581486E-4,-0.028023422,-0.01244637,0.68225354,10.07468,0.55782676
5042839968750,-0.0010690134,-0.026190827,-0.016111558,0.68225354,10.07468,0.55782676
5042842505104,7.6358096E-4,-0.025579963,-0.019776747,0.689432,10.091431,0.58654064
5042845041459,0.0045051277,-0.024969097,-0.020387612,0.64636123,10.089038,0.6367899
5042847577813,0.005726857,-0.023136504,-0.022220206,0.63200426,10.10818,0.6798607
5042850114115,0.011300999,-0.021914775,-0.022831071,0.63200426,10.101002,0.7396813
5042852650469,0.01687514,-0.019471316,-0.024663666,0.63918275,10.115358,0.8234301
5042855186823,0.02367101,-0.01886045,-0.025885396,0.6367899,10.10818,0.9287143
5042857723125,0.032299474,-0.015806125,-0.024663666,0.5841478,10.136894,0.959821
5042860259479,0.0410043,-0.013362667,-0.02527453,0.5841478,10.136894,0.959821
5042862795834,0.050243627,-0.010919208,-0.027107125,0.59611195,10.098609,0.9765707
5042865332188,0.058261227,-0.007864884,-0.029550584,0.6008976,10.117751,0.97178507
5042867868490,0.06940951,-0.0066431547,-0.028939718,0.54346985,10.067502,0.90478605
5042870404844,0.07811433,-0.0060322895,-0.032604907,0.5673981,10.069895,0.84017986
5042872941198,0.08300125,-0.0054214248,-0.034437504,0.5673981,10.069895,0.84017986
5042875477552,0.086742796,-0.0035888306,-0.03565923,0.5602196,10.060324,0.7540382
5042878013854,0.089797124,-0.0035888306,-0.04054615,0.55064833,10.024431,0.689432
5042880550209,0.09048434,-0.0011453715,-0.042989608,0.53629136,9.986146,0.63200426
5042883086563,0.08735366,6.8722287E-4,-0.045433067,0.541077,9.880862,0.5626124
5042885622917,0.08429934,0.0043524117,-0.044822205,0.541077,9.880862,0.5626124
5042888159219,0.08116866,0.0074067353,-0.044822205,0.52911294,9.744472,0.6008976
5042890695573,0.0787252,0.009850195,-0.044822205,0.52911294,9.744472,0.6008976
5042893231927,0.07620538,0.012293654,-0.04176788,0.5195416,9.512367,0.7372885
5042895768281,0.07750347,0.011682789,-0.036880963,0.5195416,9.512367,0.7372885
5042898304584,0.07750347,0.010461059,-0.033826638,0.48364928,9.395119,0.7325028
5042900840938,0.0787252,0.0067958706,-0.028328855,0.44775695,9.340084,0.60807604
5042903377292,0.07811433,-5.345067E-4,-0.021609342,0.4022933,9.392726,0.43100718
5042905913594,0.07131846,-0.0060322895,-0.015500694,0.4022933,9.392726,0.43100718
5042908449948,0.059559315,-0.008475749,-0.010613776,0.4214359,9.464511,0.27786654
